Number;Name;X;Y;Part
1;H;1;1;1
2;He;18;1;1
3;Li;1;2;1
4;Be;2;2;1
5;B;13;2;1
6;C;14;2;1
7;N;15;2;1
8;O;16;2;1
9;F;17;2;1
10;Ne;18;2;1
11;Na;1;3;1
12;Mg;2;3;1
13;Al;13;3;1
14;Si;14;3;1
15;P;15;3;1
16;S;16;3;1
17;Cl;17;3;1
18;Ar;18;3;1
19;K;1;4;1
20;Ca;2;4;1
21;Sc;3;4;1
22;Ti;4;4;1
23;V;5;4;1
24;Cr;6;4;1
25;Mn;7;4;1
26;Fe;8;4;1
27;Co;9;4;1
28;Ni;10;4;1
29;Cu;11;4;1
30;Zn;12;4;1
31;Ga;13;4;1
32;Ge;14;4;1
33;As;15;4;1
34;Se;16;4;1
35;Br;17;4;1
36;Kr;18;4;1
37;Rb;1;5;1
38;Sr;2;5;1
39;Y;3;5;1
40;Zr;4;5;1
41;Nb;5;5;1
42;Mo;6;5;1
43;Tc;7;5;1
44;Ru;8;5;1
45;Rh;9;5;1
46;Pd;10;5;1
47;Ag;11;5;1
48;Cd;12;5;1
49;In;13;5;1
50;Sn;14;5;1
51;Sb;15;5;1
52;Te;16;5;1
53;I;17;5;1
54;Xe;18;5;1
55;Cs;1;6;1
56;Ba;2;6;1
57;La;4;8;2
58;Ce;5;8;2
59;Pr;6;8;2
60;Nd;7;8;2
61;Pm;8;8;2
62;Sm;9;8;2
63;Eu;10;8;2
64;Gd;11;8;2
65;Tb;12;8;2
66;Dy;13;8;2
67;Ho;14;8;2
68;Er;15;8;2
69;Tm;16;8;2
70;Yb;17;8;2
71;Lu;18;8;2
72;Hf;4;6;1
73;Ta;5;6;1
74;W;6;6;1
75;Re;7;6;1
76;Os;8;6;1
77;Ir;9;6;1
78;Pt;10;6;1
79;Au;11;6;1
80;Hg;12;6;1
81;Tl;13;6;1
82;Pb;14;6;1
83;Bi;15;6;1
84;Po;16;6;1
85;At;17;6;1
86;Rn;18;6;1
87;Fr;1;7;1
88;Ra;2;7;1
89;Ac;4;9;3
90;Th;5;9;3
91;Pa;6;9;3
92;U;7;9;3
93;Np;8;9;3
94;Pu;9;9;3
95;Am;10;9;3
96;Cm;11;9;3
97;Bk;12;9;3
98;Cf;13;9;3
99;Es;14;9;3
100;Fm;15;9;3
101;Md;16;9;3
102;No;17;9;3
103;Lr;18;9;3
104;Rf;4;7;1
105;Db;5;7;1
106;Sg;6;7;1
107;Bh;7;7;1
108;Hs;8;7;1
109;Mt;9;7;1
110;Ds;10;7;1
111;Rg;11;7;1
112;Cn;12;7;1
113;Nh;13;7;1
114;Fl;14;7;1
115;Mc;15;7;1
116;Lv;16;7;1
117;Ts;17;7;1
118;Og;18;7;1
